Temperature,Humidity,pH_Value,Rainfall,Crop,Soil_Type,Variety,Pest_Risk,Growth_Stage
17.261833738526974,72.9416522440957,4.631301284674626,302.84263899578417,Wheat,Clay,Soft Red,Very High,Flowering
21.84611565724149,99.36195448548068,4.761658350431389,94.69384657075958,Tomato,Clay,Beefsteak,High,Fruiting/Grain_fill
33.24689514937074,81.50683564100116,6.5660070585641614,83.563684651297,Sugarcane,Clay,Co 86032,High,Seedling
14.396288866165008,59.27446469091534,6.296296654755076,31.508835824717632,Sugarcane,Silt,Co 0238,Very High,Flowering
16.77321764398873,51.19158384861472,8.268274387750605,295.1934818585424,Maize,Sandy,Sweet,Very High,Flowering
34.067790847763895,42.67288356379635,6.442318400815805,218.12207665288497,Tomato,Clay,Beefsteak,High,Fruiting/Grain_fill
33.44455100994166,48.14021863120493,6.06748880901908,368.5237414738164,Potato,Saline,Yukon Gold,Very High,Seedling
12.607353613305088,68.96606126589778,5.640770085911013,183.1601315566808,Maize,Clay,Sweet,High,Seedling
16.437202595042084,89.18331636833167,6.447732037905601,68.94076392760905,Wheat,Sandy,Hard Red,Very High,Flowering
34.77916625776406,81.82490330486573,8.233027268841509,381.867980885866,Maize,Saline,Flint,High,Vegetative
42.77376426037176,35.108459953306124,7.392240525012818,186.02454948042745,Maize,Peaty,Sweet,Very High,Flowering
34.95071367057937,39.889323923589785,8.382784595303788,236.74984263033545,Rice,Silt,Basmati,Very High,Flowering
18.97561428584665,80.03069241051651,7.628455249377096,259.65432334286936,Sugarcane,Loamy,Co 99004,Very High,Flowering
31.99369596339912,97.42447655283826,7.724092350667057,399.4046024835925,Maize,Peaty,Dent,Very High,Flowering
41.512524325245806,74.63635779332336,6.616894187701092,376.24370887381656,Tomato,Clay,Roma,Moderate,Fruiting/Grain_fill
32.48803336017299,57.73699428866856,5.960560002231484,223.88017163108088,Potato,Clay,Russet,High,Seedling
40.94069036076708,41.9055605541015,7.540587953078828,282.84732646949294,Wheat,Loamy,Soft Red,Moderate,Fruiting/Grain_fill
35.539910316988625,45.471577490921966,6.604554017887224,198.9809500996225,Rice,Silt,Basmati,High,Fruiting/Grain_fill
35.6229996430326,99.64644697176244,5.216856542096084,281.0249685551684,Maize,Peaty,Dent,Moderate,Fruiting/Grain_fill
22.07755413026925,41.30012522557527,5.8228782820903024,149.82402516084412,Rice,Saline,Jasmine,Very High,Flowering
16.645270944859945,52.6078843532749,6.411790714057908,323.21227490904266,Tomato,Sandy,Roma,High,Vegetative
15.323520754465807,70.38773585429524,6.95246362836839,134.28423824065715,Tomato,Silt,Roma,High,Seedling
34.09037978480516,34.60395394099957,8.213314498499386,123.51247598301536,Tomato,Clay,Roma,Moderate,Vegetative
12.74221016335827,79.86543474099899,6.01697128013894,149.96455771998373,Maize,Peaty,Flint,High,Fruiting/Grain_fill
44.9574717634564,53.48662744126283,5.718630778453486,208.5951058643866,Sugarcane,Clay,Co 99004,High,Fruiting/Grain_fill
35.05483738876494,65.56687613647365,5.860076388520454,334.3069764729315,Tomato,Silt,Cherry,High,Vegetative
29.699276572369623,62.98707690143667,5.469869186921967,124.46883345662752,Maize,Sandy,Flint,Moderate,Vegetative
30.69662950920808,36.302130971027765,6.847547583198686,212.0102031450734,Wheat,Sandy,Hard Red,Moderate,Vegetative
13.14025135807945,70.03506037687632,8.070739596366472,379.0576897607148,Rice,Silt,Arborio,Moderate,Fruiting/Grain_fill
31.276384565758303,81.80586842897057,5.085082794097838,328.3183667701134,Rice,Sandy,Basmati,Moderate,Fruiting/Grain_fill
42.51158735424205,58.35424924311194,7.908738291248843,65.63598598912132,Tomato,Silt,Cherry,High,Seedling
12.392060882159168,67.45767210837812,8.291504748234209,316.299112029159,Wheat,Peaty,Hard Red,Very High,Seedling
32.08553371871297,93.36504510977944,5.584522370919891,130.37150181044404,Potato,Sandy,Russet,High,Fruiting/Grain_fill
30.609583216294045,36.35196342185278,8.367905588882072,238.65421048296497,Sugarcane,Saline,Co 99004,Moderate,Vegetative
37.072846890738674,73.17082962580552,4.727681128534024,78.41118245285273,Tomato,Silt,Roma,Moderate,Vegetative
42.72475996840444,77.44001304165015,6.298496882787888,260.2036951591857,Sugarcane,Peaty,Co 86032,Very High,Seedling
20.062194860014227,94.8516329488097,5.109067827006395,244.8041854439134,Maize,Loamy,Flint,High,Fruiting/Grain_fill
10.648873453107168,84.17848156417571,6.75375519147344,196.83642924556585,Potato,Sandy,Red,High,Seedling
16.43751019128027,65.70646796092984,5.73854239596144,275.9933277562195,Sugarcane,Saline,Co 99004,Very High,Seedling
14.328330473057363,33.14705187826146,7.845230381001651,347.127097354832,Sugarcane,Sandy,Co 99004,Very High,Flowering
35.134013410987166,49.49390118694382,7.729436770303002,59.41565590403776,Maize,Silt,Dent,Very High,Flowering
26.24865894467992,58.99149554347399,6.969871941087911,239.3853884170825,Sugarcane,Saline,Co 0238,Very High,Flowering
38.50654002855593,57.305964714845445,8.068196688084472,59.97538295190133,Wheat,Sandy,Durum,Moderate,Vegetative
38.25427666454313,41.78191050211221,6.981874619774692,280.98823170729486,Sugarcane,Sandy,Co 99004,Moderate,Fruiting/Grain_fill
10.875445596680873,33.9248866058575,5.844841670966742,239.41625101616253,Sugarcane,Loamy,Co 0238,High,Fruiting/Grain_fill
37.84028489435099,92.0988237165711,6.981314814477113,268.3150045898197,Potato,Loamy,Yukon Gold,Moderate,Fruiting/Grain_fill
14.291737872997818,80.19435186499317,8.05027352948078,281.87623237014185,Wheat,Sandy,Hard Red,Moderate,Fruiting/Grain_fill
37.57619568105744,80.78805172017778,4.7353016976962845,204.8574092291563,Wheat,Loamy,Hard Red,Very High,Flowering
21.35395465698952,92.04688428731376,4.630371172325631,221.3480928288244,Wheat,Saline,Soft Red,Moderate,Vegetative
15.314792875614309,67.03840860358306,8.142784706647612,83.17882743493155,Rice,Sandy,Basmati,Moderate,Vegetative
14.578832003021,41.60000788094426,6.386169105561166,71.26241042154115,Wheat,Silt,Durum,Very High,Flowering
15.232433691545006,91.77466388024956,5.956649012673776,313.227674952893,Potato,Silt,Red,High,Vegetative
15.889515194255846,86.29778923275275,7.14021252671436,376.24214998082346,Potato,Silt,Yukon Gold,Very High,Flowering
40.81460296510027,79.71901542887015,6.651494096559224,179.7468489528085,Rice,Silt,Jasmine,High,Fruiting/Grain_fill
22.031950150379544,40.92019295310507,7.990312314881239,202.2562503066352,Potato,Saline,Yukon Gold,Very High,Flowering
13.111805817361333,99.24782870627836,6.637013490706949,268.1795281697477,Rice,Sandy,Basmati,Moderate,Fruiting/Grain_fill
36.9763521005596,42.519354422648405,5.214297418767893,240.5844087712244,Rice,Peaty,Basmati,High,Fruiting/Grain_fill
21.02282925963689,44.92216012117081,5.030109093778911,263.87292436011694,Sugarcane,Loamy,Co 0238,Very High,Seedling
32.06963233726117,43.9303671348889,6.688698503829063,145.7770658610092,Potato,Loamy,Red,Very High,Flowering
39.67247421155115,71.78271443349587,7.864683615032152,122.98576276738656,Sugarcane,Peaty,Co 0238,High,Seedling
20.085571575773628,84.07255325928693,6.850158679083663,193.59516669132643,Wheat,Clay,Hard Red,Very High,Flowering
27.002823769224623,33.34363982232055,6.426344712798452,312.6450505706988,Maize,Silt,Flint,Very High,Flowering
43.16608750027346,32.209683687035145,7.440696574304008,90.39136381090977,Rice,Silt,Arborio,High,Seedling
16.112896452376265,56.25837922699739,7.814738766035968,215.3523956973284,Sugarcane,Peaty,Co 86032,High,Seedling
44.82387266446315,73.32771940183862,6.504290493024815,163.62282789029544,Rice,Clay,Basmati,Very High,Flowering
38.86787948800796,99.08372962616758,5.683461162531683,175.63230879805465,Wheat,Loamy,Hard Red,Moderate,Vegetative
43.61731012120284,42.54310661783434,7.069831252036035,272.20284041714297,Maize,Peaty,Dent,Moderate,Fruiting/Grain_fill
11.324326320758814,65.15924129224564,5.227898753903728,241.8586167117492,Tomato,Sandy,Roma,High,Seedling
43.212922422908086,81.65465097810757,8.412743128156414,83.39889773787536,Tomato,Saline,Cherry,High,Fruiting/Grain_fill
43.00137382099895,74.89303206974284,5.343009543582166,318.0265462090065,Wheat,Saline,Soft Red,High,Vegetative
42.47680441474888,59.476105981524505,4.851515243257073,371.5065650098568,Sugarcane,Clay,Co 86032,High,Vegetative
30.934819504258385,91.75302378486576,8.126937692708875,180.6404739339484,Maize,Sandy,Dent,Moderate,Vegetative
17.98220803160805,39.81569079988389,6.846512992371768,57.73818096228246,Maize,Saline,Flint,High,Seedling
41.256979433147215,42.96535731163871,5.880075593636632,187.67342592269645,Tomato,Saline,Cherry,Moderate,Vegetative
22.458185460200607,44.61702708118846,6.303894832019603,82.46838662335972,Potato,Clay,Russet,High,Seedling
26.193001481624066,97.91224305333762,7.516893086083275,332.0726060590919,Sugarcane,Loamy,Co 0238,High,Vegetative
21.472439950525896,33.37777521897884,8.020688126395399,81.36088405788917,Maize,Loamy,Sweet,High,Fruiting/Grain_fill
31.68740974697764,51.38296488927905,5.355391727168959,398.6922297698034,Potato,Clay,Red,Moderate,Fruiting/Grain_fill
36.34817444442574,69.46753131041558,6.514971386154144,187.2033838172356,Wheat,Clay,Hard Red,Very High,Flowering
41.43310607477999,94.35308238633364,5.1456976380029245,194.0667855425711,Sugarcane,Clay,Co 86032,High,Fruiting/Grain_fill
36.999371765171,80.60400614952917,6.89049690433407,48.88662909998345,Maize,Sandy,Sweet,Very High,Flowering
29.646122475464185,46.92351453192312,8.39455592016163,249.0055082512993,Maize,Sandy,Dent,High,Fruiting/Grain_fill
26.459975732388585,69.3497143627288,7.154191249967317,248.2393704845005,Tomato,Loamy,Roma,High,Seedling
26.83456366109233,34.817223883325426,5.425050189691433,199.38142258015307,Wheat,Peaty,Durum,High,Fruiting/Grain_fill
23.172901161224768,55.89328642382753,4.690356280148627,28.0016074175958,Potato,Peaty,Yukon Gold,Very High,Flowering
14.395899664283071,58.10742954029927,5.9039711728132485,49.37856625293458,Potato,Loamy,Red,Very High,Flowering
